INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,location,Count
Eastbound Glenmore Trail at 14 Street SW,Single vehicle incident.,12/10/2016 06:44:16 PM,12/10/2016 06:52:13 PM,SW,-114.101595818037,50.9963892678367,"(50.9963892678367, -114.101595818037)",1
Deerfoot Trail at 130 Avenue SE,Single vehicle incident.,12/10/2016 06:18:06 PM,12/10/2016 06:20:34 PM,SE,-113.978889575018,50.9319825227522,"(50.9319825227522, -113.978889575018)",1
McIvor Boulevard and Copperstone Gate SE,Incident involving a pedestrian.,12/08/2016 08:48:00 PM,12/08/2016 08:49:00 PM,SE,-113.9377586,50.91436701,"(50.9143670147679, -113.93775862069)",1
Ogden Road at Bonnybrook Road SE,Single vehicle incident.,12/08/2016 06:33:00 AM,12/08/2016 06:52:00 AM,SE,-114.0308717,51.02839263,"(51.0283926253026, -114.030871669457)",1
130 Avenue and Deerfoot Trail SE,2 vehicle incident on the ramp from eastbound 130 Avenue to southbound Deerfoot Trail SE,12/06/2016 05:31:00 PM,12/06/2016 05:49:00 PM,NW,-113.9774183,50.93172001,"(50.9317200119074, -113.977418294457)",1
Southbound University Drive at Crowchild Trail NW,2 vehicle incident.,12/06/2016 05:05:00 PM,12/06/2016 05:10:00 PM,NW,-114.1195835,51.06639113,"(51.0663911277846, -114.119583516534)",1
Deerfoot Trail at Seton Boulevard SE,Multi vehicle incident.,12/10/2016 06:39:17 PM,12/10/2016 06:52:13 PM,SE,-113.973760661509,50.8942465823053,"(50.8942465823053, -113.973760661509)",1
14 Street at 90 Avenue SW,Single vehicle incident.,12/10/2016 03:53:42 PM,12/10/2016 03:54:35 PM,SW,-114.096307356316,50.9723019037843,"(50.9723019037843, -114.096307356316)",1
Westbound Crowchild Trail at Sarcee Trail NW,Single vehicle incident blocking the right lane.,12/10/2016 12:54:35 PM,12/10/2016 01:23:39 PM,NW,-114.180187767589,51.1120374189027,"(51.1120374189027, -114.180187767589)",1
Northbound Shaganappi Trail at Crowchild Trail NW,Single vehicle incident in the left lane.,12/10/2016 10:05:29 AM,12/10/2016 10:15:37 AM,NW,-114.152734549261,51.1001944351718,"(51.1001944351718, -114.152734549261)",1
Westbound 17 Avenue at Deerfoot Trail SE,Single vehicle incident.,12/10/2016 09:00:58 AM,12/10/2016 09:21:43 AM,SE,-114.008611991531,51.0370350874538,"(51.0370350874538, -114.008611991531)",1
Northbound Deerfoot Trail at Peigan Trail SE,Single vehicle incident.,12/10/2016 08:06:38 AM,12/10/2016 08:11:17 AM,SE,-114.005256240543,51.0150012899922,"(51.0150012899922, -114.005256240543)",1
68 Street at 43 Avenue NE,2 vehicle incident.,12/09/2016 08:34:11 PM,12/09/2016 08:34:57 PM,NE,-113.935579502796,51.0916799943352,"(51.0916799943352, -113.935579502796)",1
Southbound Macleod Trail at 94 Avenue SE,2 vehicle incident.,12/09/2016 05:49:59 PM,12/09/2016 05:55:52 PM,SE,-114.071706940396,50.9686322285233,"(50.9686322285233, -114.071706940396)",1
Westbound Stoney approaching Shaganappi Trail NW.,Multi vehicle incident.,12/09/2016 05:16:00 PM,12/09/2016 05:16:00 PM,NE,-114.1479334,51.15273645,"(51.1527364456253, -114.147933369876)",1
Westbound McKnight Boulevard approaching John Laurie Boulevard NW,2 vehicle incident.,12/09/2016 04:46:32 PM,12/09/2016 05:16:54 PM,NW,-114.083317961464,51.0973162573297,"(51.0973162573297, -114.083317961464)",1
Westbound McKnight Boulevard approaching John Laurie Boulevard NW,2 vehicle incident.,12/09/2016 04:46:00 PM,12/09/2016 05:16:00 PM,NW,-114.083318,51.09731626,"(51.0973162573297, -114.083317961464)",1
20 Avenue at 8 Street NW,2 vehicle incident.,12/09/2016 04:58:00 PM,12/09/2016 05:16:00 PM,NW,-114.0813777,51.07053855,"(51.0705385526371, -114.081377719156)",1
Southbound Macleod Trail approaching Glenmore Trail SE,2 vehicle incident.,12/09/2016 01:57:00 PM,12/09/2016 02:11:00 PM,SE,-114.0716686,50.99524413,"(50.9952441314982, -114.071668597675)",1
Westbound 17 Avenue at Blackfoot Trail SE,2 vehicle incident.,12/09/2016 12:47:00 PM,12/09/2016 12:50:00 PM,NW,-114.0179075,51.03765558,"(51.0376555837756, -114.017907478292)",1
Eastbound Glenmore Trail at 14 Street SW,Multi-vehicle incident blocking the left lane.,12/09/2016 11:40:00 AM,12/09/2016 11:47:00 AM,SW,-114.1015958,50.99638927,"(50.9963892678367, -114.101595818037)",1
Westbound Stoney Trail west of Deerfoot Trail NE,2 vehicle incident.,12/09/2016 09:27:00 AM,12/09/2016 09:54:00 AM,NE,-114.0153985,51.17615173,"(51.1761517268222, -114.015398455209)",1
Eastbound Glenmore Trail at Deerfoot Trail SE,2 vehicle incident in the right lane.,12/09/2016 09:18:00 AM,12/09/2016 09:20:00 AM,SE,-114.0391731,50.99415659,"(50.9941565858237, -114.039173086151)",1
Northbound Deerfoot Trail at Airport Trail NE,Multi vehicle incident,12/08/2016 09:54:00 PM,12/08/2016 09:55:00 PM,NE,-114.0383787,51.14158636,"(51.1415863632458, -114.03837871099)",1
Eastbound Anderson Road at Acadia Drve SE,Single vehicle incident.,12/08/2016 04:53:00 PM,12/08/2016 05:22:00 PM,SE,-114.0441396,50.94833141,"(50.9483314057881, -114.044139639421)",1
Northbound Edmonton Trail at 16 Avenue NE,2 vehicle incident.,12/08/2016 03:42:00 PM,12/08/2016 03:47:00 PM,NW,-114.0561676,51.06684262,"(51.0668426165042, -114.05616755207)",1
Eastbound Stoney Trail east of Deerfoot Trail NE,Single vehicle incident.,12/08/2016 10:05:00 AM,12/08/2016 10:08:00 AM,NE,-114.0153985,51.17615173,"(51.1761517268222, -114.015398455209)",1
Northbound Deerfoot Trail at 64 Avenue NE,2 vehicle incident.,12/07/2016 06:31:00 PM,12/07/2016 06:54:00 PM,NE,-114.0468751,51.11086623,"(51.1108662269181, -114.046875145401)",1
114 Avenue and 52 Street SE,2 vehicle incident in the intersection.,12/07/2016 05:26:00 PM,12/07/2016 05:52:00 PM,SE,-113.9581992,50.95048786,"(50.9504878599381, -113.958199159629)",1
Northbound Crowchild Trail approaching Memorial Drive SW,Multi-vehicle incident blocking the 2 right lanes.,12/07/2016 03:44:00 PM,12/07/2016 04:48:00 PM,SW,-114.1141814,51.04588316,"(51.0458831587775, -114.114181409786)",1
Seton Way at Auburn Bay Gate SE,Multi vehicle incident.,12/10/2016 02:13:15 PM,12/10/2016 02:14:07 PM,SE,-113.957493331541,50.8825054696699,"(50.8825054696699, -113.957493331541)",1
Bow Trail at 10 Avenue SW,2 vehicle incident.,12/10/2016 01:49:13 PM,12/10/2016 01:50:36 PM,SW,-114.113896057596,51.0453057567952,"(51.0453057567952, -114.113896057596)",1
Acadia Drive at Anderson Road SE,2 vehicle incident.,12/10/2016 02:10:34 PM,12/10/2016 02:14:07 PM,SE,-114.044139639421,50.9483314057881,"(50.9483314057881, -114.044139639421)",1
Anderson Road at Elbow Drive SW,2 vehicle incident.,12/09/2016 07:33:25 PM,12/09/2016 07:34:46 PM,SW,-114.085975451658,50.9505916222112,"(50.9505916222112, -114.085975451658)",1
Centre Street at 7 Street NE,Single vehicle incident.,12/09/2016 06:08:09 PM,12/09/2016 06:21:31 PM,NE,-114.06253407232,51.0588775610272,"(51.0588775610272, -114.06253407232)",1
